"","new_year","day_of_week","hijri_year"
"348","1671-10-10","Saturday",1081.78125
"349","1670-10-10","Friday",1080.75
"350","1669-10-10","Thursday",1079.71875
"351","1668-10-10","Wednesday",1078.6875
"352","1667-10-11","Tuesday",1077.65625
"353","1666-10-11","Monday",1076.625
"354","1665-10-11","Sunday",1075.59375
"355","1664-10-11","Saturday",1074.5625
"356","1663-10-12","Friday",1073.53125
"357","1662-10-12","Thursday",1072.5
"358","1661-10-12","Wednesday",1071.46875
"359","1660-10-12","Tuesday",1070.4375
"360","1659-10-13","Monday",1069.40625
"361","1658-10-13","Sunday",1068.375
"362","1657-10-13","Saturday",1067.34375
"363","1656-10-13","Friday",1066.3125
"364","1655-10-14","Thursday",1065.28125
"365","1654-10-14","Wednesday",1064.25
"366","1653-10-14","Tuesday",1063.21875
"367","1652-10-14","Monday",1062.1875
"368","1651-10-15","Sunday",1061.15625
"369","1650-10-15","Saturday",1060.125
"370","1649-10-15","Friday",1059.09375
"371","1648-10-15","Thursday",1058.0625
"372","1647-10-16","Wednesday",1057.03125
"373","1646-10-16","Tuesday",1056
"374","1645-10-16","Monday",1054.96875
"375","1644-10-16","Sunday",1053.9375
"376","1643-10-17","Saturday",1052.90625
"377","1642-10-17","Friday",1051.875
"378","1641-10-17","Thursday",1050.84375
"379","1640-10-17","Wednesday",1049.8125
"380","1639-10-18","Tuesday",1048.78125
"381","1638-10-18","Monday",1047.75
"382","1637-10-18","Sunday",1046.71875
"383","1636-10-18","Saturday",1045.6875
"384","1635-10-19","Friday",1044.65625
"385","1634-10-19","Thursday",1043.625
"386","1633-10-19","Wednesday",1042.59375
"387","1632-10-19","Tuesday",1041.5625
"388","1631-10-20","Monday",1040.53125
"389","1630-10-20","Sunday",1039.5
"390","1629-10-20","Saturday",1038.46875
"391","1628-10-20","Friday",1037.4375
"392","1627-10-21","Thursday",1036.40625
"393","1626-10-21","Wednesday",1035.375
"394","1625-10-21","Tuesday",1034.34375
"395","1624-10-21","Monday",1033.3125
"396","1623-10-22","Sunday",1032.28125
"397","1622-10-22","Saturday",1031.25
"398","1621-10-22","Friday",1030.21875
"399","1620-10-22","Thursday",1029.1875
"400","1619-10-23","Wednesday",1028.15625
"401","1618-10-23","Tuesday",1027.125
"402","1617-10-23","Monday",1026.09375
"403","1616-10-23","Sunday",1025.0625
"404","1615-10-24","Saturday",1024.03125
"405","1614-10-24","Friday",1023
"406","1613-10-24","Thursday",1021.96875
